"NU_ANO_CENSO","CO_REDE","NO_REDE","CO_ORGAO_REGIONAL","NO_ORGAO_REGIONAL","CO_DISTRITO","NO_DISTRITO","TP_LOCAL","LOCALIZACAO","CO_ENTIDADE","NO_ENTIDADE","CO_CLASSIFICAÇÃO","NO_CLASSIFICAÇÃO","DS_ENDERECO","NU_ENDERECO","DS_COMPLEMENTO","NO_BAIRRO","GEO_REF_LATITUDE","GEO_REF_LONGITUDE","NU_DDD","NU_TELEFONE","TX_EMAIL",""
"2023","3","REDE PARTICULAR CONVENIADA","1","PLANO PILOTO","1","BRASILIA","1","Urbana","53011007","ACAO SOCIAL PAULA FRASSINETTI","3","Prédio OSC - Gestão OSC","QUADRA SGAN 911 CONJUNTO B1","NULL","NULL","ASA NORTE","-15.7586489","-47.9004229","61","32740823","aspfrassinetti34@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","13","SANTA MARIA","1","Urbana","53054016","C DE CONVIVENCIA E EDUC INF MARIA MAE DA PROVIDENCIA","3","Prédio OSC - Gestão OSC","SETOR SUL COMERCIO LOCAL 103 LOTE F A/E","103","SANTA MARIA SUL","SANTA MARIA","-16.03574888","-48.03445072","61","33935303","convivenciamariamaeprovidencia@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","2","GAMA","1","Urbana","53012704","C DE CONVIVENCIA E EDUC INF NOSSA SENHORA DO CARMO","3","Prédio OSC - Gestão OSC","QUADRA QUADRA 12","NULL","AREA ESPECIAL 01","SETOR LESTE GAMA","-16.0132231","-48.0478423","61","30326776","nossasenhoradocarmosecretaria@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","13","SANTA MARIA","1","Urbana","53012690","C DE CONVIVENCIA E EDUCACAO INFANTIL SAGRADA FAMILIA","3","Prédio OSC - Gestão OSC","SETOR SUL COMERCIO LOCAL 103 LOTE F","0","AREA ESPECIAL","SANTA MARIA SUL","-16.03546167","-48.03450667","61","33931223","secretariasagradafamiliaoapnb@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","2","GAMA","1","Urbana","53061004","C DE CONVIVENCIA EDUCACIONAL INFANTIL DIVINO ESPIRITO SANTO","3","Prédio OSC - Gestão OSC","ENTRE QUADRA 14/18 AREA ESPECIAL","1","AREA ESPECIAL","SETOR OESTE GAMA","-16.0061625","-48.0818544","61","34843019","cceides@hotmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","12","SAMAMBAIA","1","Urbana","53013042","C DE CRIATIVIDADE INFANTO-JUVENIL - CCI","3","Prédio OSC - Gestão OSC","QUADRA QN 401 CONJUNTO B LOTE 01/03","1-Mar","NULL","SAMAMBAIA NORTE","-15.86684","-48.09612","61","30488200","secretaria@portalcci.com.br",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","2","GAMA","1","Urbana","53018885","C DE EDUC INF COLIBRI","3","Prédio OSC - Gestão OSC","AE LADO LESTE N 14S ST CENTRAL","NULL","NULL","GAMA","-16.016757","-48.061627","61","39784442","contato.ceicolibri@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","7","NUCLEO BANDEIRANTE","24","PARK WAY","1","Urbana","53015835","C DE EDUC INF E ASSIST SOCIAL LEO TIGRE PETER","3","Prédio OSC - Gestão OSC","AREA ESPECIAL 3 TRECHO 3","NULL","AREA ESPECIAL","SETOR DE INDUSTRIAS BERNARDO SAYAO","-15.8658726","-47.976453","61","30815521","casadamaepreta@hotmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","3","TAGUATINGA","3","TAGUATINGA","1","Urbana","53066006","C DE EDUC INF E ASSISTENCIA SOCIAL CASA DO CAMINHO","3","Prédio OSC - Gestão OSC","QUADRA QNJ 10 AREA ESPECIAL 6","10","NULL","TAGUATINGA NORTE TAGUATINGA","-15.8141104","-48.0847068","61","34755210","creche.tagutinga@casadocaminho.org",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","28","ITAPOA","1","Urbana","53019679","C DE EDUC INF FAMILY CLUB","3","Prédio OSC - Gestão OSC","QD 03 CJ H LT 102","NULL","NULL","PARANOA","-15.746371","-47.763178","61","982693534","secretariafamilyclubitapoa@gmail.com",""
