"CO_ENTIDADE","NO_ENTIDADE","TIPO_ENSINO","NO_ORGAO_REGIONAL","GEO_LONGITUDE","GEO_LATITUDE"
"53004973","CAIC PROF BENEDITO CARLOS DE OLIVEIRA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.2030828","-15.6773363"
"53005007","CED VENDINHA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.19944782","-15.62096086"
"53005074","EC 01 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.2019771","-15.6819001"
"53005082","EC 03 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1929277","-15.6771765"
"53005090","CEF 02 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.19434565","-15.67210046"
"53005104","EC 05 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1914702","-15.687586"
"53005112","EC 06 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.200835","-15.6651473"
"53005120","EC 07 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.2022821","-15.6648953"
"53005139","EC 08 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.2021566","-15.6704734"
"53005147","EC ALMECEGAS","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1687633","-15.5388726"
"53005155","EC BUCANHAO","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1695173","-15.6370154"
"53005163","EC CHAPADINHA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1516918","-15.6750219"
"53005171","CED 04 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1903327","-15.5341961"
"53005180","EC INCRA 06","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1923932","-15.7280892"
"53005198","CEF INCRA 07","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1149725","-15.748904"
"53005201","EC POLO AGRICOLA DA TORRE","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.19386","-15.66275833"
"53005210","CED IRMA MARIA REGINA VELANES REGIS","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1030694","-15.6752537"
"53014545","EC 01 INCRA 08","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.17033","-15.74057"
"53014553","CEF 03 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1955227","-15.6587245"
"53068025","ESCOLA CLASSE 09 DE BRAZLANDIA","Ensino Fundamental Anos Iniciais","BRAZLÂNDIA","-48.1901794","-15.658467"
"53007255","CAIC BERNARDO SAYAO","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1145794","-15.8321475"
