Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,ASSOC DE PAIS E AMIGOS DOS EXCEP - APAE-DF,53000030,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 711/911, ASA NORTE. 70790-115 Brasília - DF.",(61) 993389242,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,-15.7556206,-47.8973613
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CEE 02 DE BRASILIA,53000200,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 612 MODULO D, ASA SUL. ASA SUL. 70200-720 Brasília - DF.",(61) 39017608,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8321632,-47.9080864
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CETEB DE JOVENS E ADULTOS,53000226,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 603, CONJUNTO C. ASA SUL. 70200-630 Brasília - DF.",(61) 32188338,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEJA ASA SUL - CESAS,53000234,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 602, PROJECAO D. ASA SUL. 70200-620 Brasília - DF.",(61) 39012605,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,,-15.8094245,-47.8821157
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,C EDUCACIONAL DA AUDICAO E LINGUAGEM LUDOVICO PAVONI - CEAL - LP,53000331,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 909 MODULO B, ASA NORTE. 70790-092 Brasília - DF.",(61) 33499944,Privada,Filantrópica,Sim,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7631769,-47.894996
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,CEE 01 DE BRASILIA,53000439,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 912, 42/48 CONJUNTO E LOTE. ASA SUL. 70390-120 Brasília - DF.",(61) 39017629,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atendimento Educacional Especializado,-15.8150375,-47.9183525
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,CEE DE DEFICIENTES VISUAIS - CEEDV,53000714,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 612 L2 SUL, CONJUNTO J AREA ESPECIAL. ASA SUL. 70200-720 Brasília - DF.",(61) 33182630,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atendimento Educacional Especializado,-15.83188879,-47.90836819
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARVENSE C EDUCACIONAL,53000781,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 914 CONJUNTO F PARTE ESCOLA, ASA NORTE. 70790-143 Brasília - DF.",(61) 33409792,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.74787607,-47.90018818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC URSINHO FELIZ,53000790,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQS 112/312, LOTE C ASA SUL. 70375-450 Brasília - DF.",(61) 33458080,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-15.8235423,-47.9161057
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA CRIANCA PAO DE SANTO ANTONIO,53000811,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 906 CONJUNTO C, ASA SUL. 70390-060 Brasília - DF.",(61) 32422337,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8055676,-47.9050098
