Localidade da Escola,País,Região,UF,Município,Escolas,Categoria 1,Categoria 1 - Ordenação,Categoria 2,Categoria 2 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,5209,Rural,2,Estadual,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,94,Rural,2,Federal,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,45270,Rural,2,Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,695,Rural,2,Privada,4,Educação Básica,Educação Básica
Brasil,Brasil,,,,24068,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,614,Urbana,1,Federal,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,61589,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,41747,Urbana,1,Privada,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,403,Rural,2,Estadual,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,15,Rural,2,Federal,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1059,Rural,2,Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,27,Rural,2,Privada,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,2237,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,53,Urbana,1,Federal,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,4015,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,2700,Urbana,1,Privada,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,1280,Rural,2,Estadual,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,32,Rural,2,Federal,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,24708,Rural,2,Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,392,Rural,2,Privada,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,5060,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,201,Urbana,1,Federal,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,17669,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,10552,Urbana,1,Privada,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1606,Rural,2,Estadual,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,11,Rural,2,Federal,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,11714,Rural,2,Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,53,Rural,2,Privada,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,2308,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,71,Urbana,1,Federal,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,4550,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1813,Urbana,1,Privada,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,831,Rural,2,Estadual,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,22,Rural,2,Federal,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,4998,Rural,2,Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,170,Rural,2,Privada,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,9876,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,185,Urbana,1,Federal,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,24224,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,20544,Urbana,1,Privada,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,1089,Rural,2,Estadual,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,14,Rural,2,Federal,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,2791,Rural,2,Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,53,Rural,2,Privada,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,4587,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,104,Urbana,1,Federal,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,11131,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,6138,Urbana,1,Privada,4,Educação Básica,Educação Básica
