"CO_ENTIDADE","NO_ENTIDADE","TIPO_ENSINO","NO_ORGAO_REGIONAL","GEO_LONGITUDE","GEO_LATITUDE"
"53004981","CED INCRA 08","Ensino Médio","BRAZLÂNDIA","-48.169778","-15.7436396"
"53005015","CEM 01 DE BRAZLANDIA","Ensino Médio","BRAZLÂNDIA","-48.19588","-15.68821"
"53005171","CED 04 DE BRAZLANDIA","Ensino Médio","BRAZLÂNDIA","-48.1903327","-15.5341961"
"53005210","CED IRMA MARIA REGINA VELANES REGIS","Ensino Médio","BRAZLÂNDIA","-48.1030694","-15.6752537"
"53012720","CEM 02 DE BRAZLANDIA","Ensino Médio","BRAZLÂNDIA","-48.19700145","-15.6662936"
"53007360","CED 14 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1293815","-15.7937401"
"53007387","CED 15 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1381954","-15.7986827"
"53007425","CEM 12 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1300294","-15.8099661"
"53007492","CEM 02 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1090515","-15.8074959"
"53007506","CEM 03 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.0986998","-15.8264073"
"53007514","CEM 04 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.10788167","-15.83115333"
"53007530","CED 06 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1155889","-15.8445105"
"53007549","CED 07 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1183118","-15.8122191"
"53007557","CEM 09 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.1242938","-15.7917441"
"53007565","CEM 10 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.14038681","-15.80099121"
"53007921","CED 11 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.12534333","-15.8229"
"53008146","CED INCRA 09","Ensino Médio","CEILÂNDIA","-48.19374","-15.78412"
"53012100","CED 16 DE CEILANDIA","Ensino Médio","CEILÂNDIA","-48.14329","-15.80388"
"53002482","CED 08 DO GAMA","Ensino Médio","GAMA","-48.0783159","-16.0231646"
"53002580","CEM 01 DO GAMA","Ensino Médio","GAMA","-48.0543116","-16.0188242"
"53002598","CEM 02 DO GAMA","Ensino Médio","GAMA","-48.0710892","-16.015342"
"53002601","CEM 03 DO GAMA","Ensino Médio","GAMA","-48.0637146","-16.0367227"
"53002610","CED 06 DO GAMA","Ensino Médio","GAMA","-48.05057005","-16.00734123"
"53003047","CED ENGENHO DAS LAJES","Ensino Médio","GAMA","-48.2570815","-16.0419382"
"53009380","CED CASA GRANDE","Ensino Médio","GAMA","-48.09920777","-15.96401333"
"53014812","CEMI EP DO GAMA","Ensino Médio","GAMA","-48.07495215","-16.01050897"
"53008456","CED 01 DO GUARA","Ensino Médio","GUARÁ","-47.96853893","-15.84311015"
"53008464","CEM 01 DO GUARA","Ensino Médio","GUARÁ","-47.9809231","-15.8182964"
"53008472","CED 03 DO GUARA","Ensino Médio","GUARÁ","-47.9755835","-15.8388619"
"53008480","CED 04 DO GUARA","Ensino Médio","GUARÁ","-47.97507028","-15.82112549"
"53048008","CED 01 DA ESTRUTURAL","Ensino Médio","GUARÁ","-47.9970904","-15.7830497"
"53006968","CED AGROURBANO IPE RIACHO FUNDO","Ensino Médio","NÚCLEO BANDEIRANTE","-48.0149527","-15.9474912"
"53006984","CEM 01 DO RIACHO FUNDO","Ensino Médio","NÚCLEO BANDEIRANTE","-48.01430702","-15.88814096"
"53007077","CEM URSO BRANCO","Ensino Médio","NÚCLEO BANDEIRANTE","-47.9690437","-15.8723956"
"53051009","CEM JULIA KUBITSCHEK","Ensino Médio","NÚCLEO BANDEIRANTE","-47.9462036","-15.8531038"
"53068092","CED 01 DO RIACHO FUNDO II","Ensino Médio","NÚCLEO BANDEIRANTE","-48.0324866","-15.9488427"
"53006720","CED DO PAD-DF","Ensino Médio","PARANOÁ","-47.5571896","-16.0097728"
"53006739","CEM 01 DO PARANOA","Ensino Médio","PARANOÁ","-47.7797081","-15.7828956"
"53011520","CED DARCY RIBEIRO","Ensino Médio","PARANOÁ","-47.7831412","-15.7626635"
"53016378","CED 01 DO ITAPOA","Ensino Médio","PARANOÁ","-47.7826907","-15.7685722"
"53005988","CED PIPIRIPAU II","Ensino Médio","PLANALTINA","-47.6501325","-15.600974"
"53006046","CED TAQUARA","Ensino Médio","PLANALTINA","-47.5222325","-15.6337783"
"53006054","CED VARZEAS","Ensino Médio","PLANALTINA","-47.57049811","-15.82102928"
"53006062","CEM 01 DE PLANALTINA","Ensino Médio","PLANALTINA","-47.6517688","-15.6197308"
"53006070","CEM 02 DE PLANALTINA","Ensino Médio","PLANALTINA","-47.6536294","-15.6217302"
"53006283","CED 03 DE PLANALTINA","Ensino Médio","PLANALTINA","-47.6500175","-15.6032036"
"53006496","CED OSORIO BACCHIN","Ensino Médio","PLANALTINA","-47.6303952","-15.5268781"
"53013840","CED STELLA DOS CHERUBINS GUIMARAES TROIS","Ensino Médio","PLANALTINA","-47.65975835","-15.63040708"
"53014308","CED POMPILIO MARQUES DE SOUZA","Ensino Médio","PLANALTINA","-47.6828607","-15.5989796"
"53014316","CED VALE DO AMANHECER","Ensino Médio","PLANALTINA","-47.6566495","-15.679885"
"53068068","CED DONA AMERICA GUIMARAES","Ensino Médio","PLANALTINA","-47.6291661","-15.6403607"
"53000986","CEM PAULO FREIRE","Ensino Médio","PLANO PILOTO","-47.8783258","-15.7559385"
"53001010","CEM ASA NORTE - CEAN","Ensino Médio","PLANO PILOTO","-47.8750957","-15.7665057"
"53001036","CEM ELEFANTE BRANCO","Ensino Médio","PLANO PILOTO","-47.90941819","-15.80862897"
"53001044","CED GISNO","Ensino Médio","PLANO PILOTO","-47.894654","-15.7692689"
"53001206","CEM SETOR LESTE","Ensino Médio","PLANO PILOTO","-47.9065513","-15.8312336"
"53001214","CEM SETOR OESTE","Ensino Médio","PLANO PILOTO","-47.9197617","-15.8159148"
"53008790","CENTRO DE ENSINO MEDIO INTEGRADO DO CRUZEIRO","Ensino Médio","PLANO PILOTO","-47.9385156","-15.7832543"
"53008804","CED 02 DO CRUZEIRO","Ensino Médio","PLANO PILOTO","-47.9381437","-15.7957921"
"53009479","CED DO LAGO","Ensino Médio","PLANO PILOTO","-47.8764095","-15.8391669"
"53012356","CED DO LAGO NORTE","Ensino Médio","PLANO PILOTO","-47.8789424","-15.7179471"
"53008979","CED MYRIAM ERVILHA","Ensino Médio","RECANTO DAS EMAS","-48.242001","-15.940488"
"53011066","CED 104 DO RECANTO DAS EMAS","Ensino Médio","RECANTO DAS EMAS","-48.07115617","-15.90066873"
"53012119","CED 308 DO RECANTO DAS EMAS","Ensino Médio","RECANTO DAS EMAS","-48.1013481","-15.9234114"
"53012194","CEM 111 DO RECANTO DAS EMAS","Ensino Médio","RECANTO DAS EMAS","-48.0985623","-15.9124974"
"53019407","CEM 804 DO RECANTO DAS EMAS","Ensino Médio","RECANTO DAS EMAS","-48.05815391","-15.92042922"
"53009029","CEM 304 DE SAMAMBAIA","Ensino Médio","SAMAMBAIA","-48.0792461","-15.8792963"
